Accommodation name,Property ID,Date,Day,Price per night without tax,Year,Month,Day of the Week,Weekend
Test home 1,123456,2022-10-16,6,114.0,2022,10,Sunday,True
Test home 1,123456,2022-10-17,0,98.0,2022,10,Monday,False
Test home 1,123456,2022-10-18,1,98.0,2022,10,Tuesday,False
Test home 1,123456,2022-10-19,2,228.0,2022,10,Wednesday,False
Test home 1,123456,2022-10-20,3,171.0,2022,10,Thursday,False
Test home 1,123456,2022-10-21,4,238.0,2022,10,Friday,False
Test home 1,123456,2022-10-22,5,253.0,2022,10,Saturday,True
Test home 1,123456,2022-10-23,6,231.0,2022,10,Sunday,True
Test home 1,123456,2022-10-24,0,169.0,2022,10,Monday,False
Test home 1,123456,2022-10-25,1,177.0,2022,10,Tuesday,False
Test home 1,123456,2022-10-26,2,173.0,2022,10,Wednesday,False
Test home 1,123456,2022-10-27,3,158.0,2022,10,Thursday,False
Test home 1,123456,2022-10-28,4,148.0,2022,10,Friday,False
Test home 1,123456,2022-10-29,5,275.0,2022,10,Saturday,True
Test home 1,123456,2022-10-30,6,230.0,2022,10,Sunday,True
Test home 1,123456,2022-10-31,0,123.0,2022,10,Monday,False
Test home 1,123456,2022-11-01,1,107.0,2022,11,Tuesday,False
Test home 1,123456,2022-11-02,2,90.0,2022,11,Wednesday,False
Test home 1,123456,2022-11-03,3,111.0,2022,11,Thursday,False
Test home 1,123456,2022-11-04,4,124.0,2022,11,Friday,False
Test home 1,123456,2022-11-05,5,153.0,2022,11,Saturday,True
Test home 1,123456,2022-11-06,6,123.0,2022,11,Sunday,True
Test home 1,123456,2022-11-07,0,122.0,2022,11,Monday,False
Test home 1,123456,2022-11-08,1,135.0,2022,11,Tuesday,False
Test home 1,123456,2022-11-09,2,109.0,2022,11,Wednesday,False
Test home 1,123456,2022-11-10,3,121.0,2022,11,Thursday,False
Test home 1,123456,2022-11-11,4,177.0,2022,11,Friday,False
Test home 1,123456,2022-11-12,5,167.0,2022,11,Saturday,True
Test home 1,123456,2022-11-13,6,93.0,2022,11,Sunday,True
Test home 1,123456,2022-11-14,0,90.0,2022,11,Monday,False
Test home 1,123456,2022-11-15,1,92.0,2022,11,Tuesday,False
Test home 1,123456,2022-11-16,2,89.0,2022,11,Wednesday,False
Test home 1,123456,2022-11-17,3,106.0,2022,11,Thursday,False
Test home 1,123456,2022-11-18,4,105.0,2022,11,Friday,False
Test home 1,123456,2022-11-19,5,107.0,2022,11,Saturday,True
Test home 1,123456,2022-11-20,6,68.0,2022,11,Sunday,True
Test home 1,123456,2022-11-21,0,64.0,2022,11,Monday,False
Test home 1,123456,2022-11-22,1,60.0,2022,11,Tuesday,False
Test home 1,123456,2022-11-23,2,60.0,2022,11,Wednesday,False
Test home 1,123456,2022-11-24,3,60.0,2022,11,Thursday,False
Test home 1,123456,2022-11-25,4,81.0,2022,11,Friday,False
Test home 1,123456,2022-11-26,5,90.0,2022,11,Saturday,True
Test home 1,123456,2022-11-27,6,80.0,2022,11,Sunday,True
Test home 1,123456,2022-11-28,0,68.0,2022,11,Monday,False
Test home 1,123456,2022-11-29,1,64.0,2022,11,Tuesday,False
Test home 1,123456,2022-11-30,2,64.0,2022,11,Wednesday,False
Test home 1,123456,2022-12-01,3,64.0,2022,12,Thursday,False
Test home 1,123456,2022-12-02,4,73.0,2022,12,Friday,False
Test home 1,123456,2022-12-03,5,91.0,2022,12,Saturday,True
Test home 1,123456,2022-12-04,6,82.0,2022,12,Sunday,True
Test home 1,123456,2022-12-05,0,68.0,2022,12,Monday,False
Test home 1,123456,2022-12-06,1,68.0,2022,12,Tuesday,False
Test home 1,123456,2022-12-07,2,68.0,2022,12,Wednesday,False
Test home 1,123456,2022-12-08,3,68.0,2022,12,Thursday,False
Test home 1,123456,2022-12-09,4,75.0,2022,12,Friday,False
Test home 1,123456,2022-12-10,5,74.0,2022,12,Saturday,True
Test home 1,123456,2022-12-11,6,62.0,2022,12,Sunday,True
Test home 1,123456,2022-12-12,0,60.0,2022,12,Monday,False
Test home 1,123456,2022-12-13,1,60.0,2022,12,Tuesday,False
Test home 1,123456,2022-12-14,2,60.0,2022,12,Wednesday,False
Test home 1,123456,2022-12-15,3,64.0,2022,12,Thursday,False
Test home 1,123456,2022-12-16,4,76.0,2022,12,Friday,False
Test home 1,123456,2022-12-17,5,80.0,2022,12,Saturday,True
Test home 1,123456,2022-12-18,6,70.0,2022,12,Sunday,True
Test home 1,123456,2022-12-19,0,71.0,2022,12,Monday,False
Test home 1,123456,2022-12-20,1,76.0,2022,12,Tuesday,False
Test home 1,123456,2022-12-21,2,81.0,2022,12,Wednesday,False
Test home 1,123456,2022-12-22,3,85.0,2022,12,Thursday,False
Test home 1,123456,2022-12-23,4,98.0,2022,12,Friday,False
Test home 1,123456,2022-12-24,5,130.0,2022,12,Saturday,True
Test home 1,123456,2022-12-25,6,104.0,2022,12,Sunday,True
Test home 1,123456,2022-12-26,0,108.0,2022,12,Monday,False
Test home 1,123456,2022-12-27,1,121.0,2022,12,Tuesday,False
Test home 1,123456,2022-12-28,2,127.0,2022,12,Wednesday,False
Test home 1,123456,2022-12-29,3,142.0,2022,12,Thursday,False
Test home 1,123456,2022-12-30,4,295.0,2022,12,Friday,False
Test home 1,123456,2022-12-31,5,307.5,2022,12,Saturday,True
Test home 1,123456,2022-12-31,5,320.0,2022,12,Saturday,True
Test home 1,123456,2023-01-01,6,136.0,2023,1,Sunday,True
Test home 1,123456,2023-01-02,0,97.0,2023,1,Monday,False
Test home 1,123456,2023-01-03,1,90.0,2023,1,Tuesday,False
Test home 1,123456,2023-01-04,2,82.0,2023,1,Wednesday,False
Test home 1,123456,2023-01-05,3,76.0,2023,1,Thursday,False
Test home 1,123456,2023-01-06,4,92.0,2023,1,Friday,False
Test home 1,123456,2023-01-07,5,73.0,2023,1,Saturday,True
Test home 1,123456,2023-01-08,6,62.0,2023,1,Sunday,True
Test home 1,123456,2023-01-09,0,60.0,2023,1,Monday,False
Test home 1,123456,2023-01-10,1,60.0,2023,1,Tuesday,False
Test home 1,123456,2023-01-11,2,60.0,2023,1,Wednesday,False
Test home 1,123456,2023-01-12,3,85.0,2023,1,Thursday,False
Test home 1,123456,2023-01-13,4,79.0,2023,1,Friday,False
Test home 1,123456,2023-01-14,5,91.0,2023,1,Saturday,True
Test home 1,123456,2023-01-15,6,80.0,2023,1,Sunday,True
Test home 1,123456,2023-01-16,0,75.0,2023,1,Monday,False
Test home 1,123456,2023-01-17,1,74.0,2023,1,Tuesday,False
Test home 1,123456,2023-01-18,2,74.0,2023,1,Wednesday,False
Test home 1,123456,2023-01-19,3,93.0,2023,1,Thursday,False
Test home 1,123456,2023-01-20,4,84.0,2023,1,Friday,False
Test home 1,123456,2023-01-21,5,88.0,2023,1,Saturday,True
Test home 1,123456,2023-01-22,6,79.0,2023,1,Sunday,True
Test home 1,123456,2023-01-23,0,65.0,2023,1,Monday,False
Test home 1,123456,2023-01-24,1,69.0,2023,1,Tuesday,False
Test home 1,123456,2023-01-25,2,71.0,2023,1,Wednesday,False
Test home 1,123456,2023-01-26,3,76.0,2023,1,Thursday,False
Test home 1,123456,2023-01-27,4,84.0,2023,1,Friday,False
Test home 1,123456,2023-01-28,5,108.0,2023,1,Saturday,True
Test home 1,123456,2023-01-29,6,75.0,2023,1,Sunday,True
Test home 1,123456,2023-01-30,0,145.0,2023,1,Monday,False
Test home 1,123456,2023-01-31,1,234.0,2023,1,Tuesday,False
Test home 1,123456,2023-02-01,2,321.0,2023,2,Wednesday,False
Test home 1,123456,2023-02-02,3,153.0,2023,2,Thursday,False
Test home 1,123456,2023-02-03,4,106.0,2023,2,Friday,False
Test home 1,123456,2023-02-04,5,108.0,2023,2,Saturday,True
Test home 1,123456,2023-02-05,6,97.0,2023,2,Sunday,True
Test home 1,123456,2023-02-06,0,68.0,2023,2,Monday,False
Test home 1,123456,2023-02-07,1,66.0,2023,2,Tuesday,False
Test home 1,123456,2023-02-08,2,64.0,2023,2,Wednesday,False
Test home 1,123456,2023-02-09,3,65.0,2023,2,Thursday,False
Test home 1,123456,2023-02-10,4,101.0,2023,2,Friday,False
